Gender,Age Group,Field of Occupation,Social Media Platforms,Time Spent on Social Media,Devices Used,Preferred Medium,Logged in Frequency,Social Media Use in Office,Routine at Work,Importance to Daily Worklife,Addicted to Social Media,Distraction at Work,Activities on Social Media,Impact on Goals,Impact on general Output
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,No,Prefer not to say,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Others
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,Laptops,Twitter,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,Yes,Prefer not to say,No,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,Prefer not to say,Check Newsfeed ,Yes,Partly
Female,15 - 24,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Prefer not to say,No,Prefer not to say,Check Newsfeed ,No,Partly
Female,25 - 45,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,No,Check Newsfeed ,No,Others
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Yes,Yes,Chat,Yes,Greatly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,No,Yes,No,No,Chat,Yes,Partly
Female,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",,Frequently,Yes,No,Yes,No,No,Others,No,Others
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,No,No,Yes,No,No,Chat,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,No,
Male,45 - 64,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Twitter,Others",Frequently,Yes,No,Prefer not to say,Prefer not to say,Yes,"Check Newsfeed,Chat,Others",Yes,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,No,No,No,No,Chat,No,Others
Female,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,Prefer not to say,,,,
Male,25 - 44,Employed,1,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Male,,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,No,No,Check Newsfeed ,Yes,Partly
Female,45 - 64,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others","facebook,twitter,instagram",Frequently,No,No,Yes,No,No,Others,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,No,No,Check Newsfeed ,No,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,45 - 64,Employed,1,Less than 1 hour,Others,facebook,Occasionally,No,No,Prefer not to say,No,Yes,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,No,No,Yes,Yes,Check Newsfeed ,No,Partly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,No,Prefer not to say,Yes,Others,Yes,Partly
Female,15 - 24,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,,No,No,No,"Check Newsfeed,Chat,Play games,Others",No,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,Prefer not to say,No,Others,No,Partly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,Prefer not to say,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,No,No,Chat,Yes,Partly
Female,15 - 24,Unemployed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Greatly
Female,15 - 24,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others",Instagram,Frequently,Yes,No,Yes,No,No,Chat,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,Laptops,facebook,Frequently,Yes,Yes,Yes,Yes,Yes,Chat,Yes,Greatly
Female,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,No,Yes,No,No,Others,No,Partly
Female,45 - 64,Employed,1,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Instagram,SnapChat",Occasionally,Yes,Yes,Yes,No,Yes,Others,Yes,Greatly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
